STATION,NAME,DATE,PRCP,SNOW,SNWD,WESD,WESF
US1COAR0043,"DENVER 9.4 S, CO US",1/1/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/2/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/3/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/4/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/5/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/6/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/7/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/8/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/9/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/10/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/11/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/12/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/13/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/14/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/15/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/16/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/17/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/18/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/19/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/20/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/21/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/22/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/23/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/24/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/25/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/26/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/27/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/28/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/29/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",1/30/2020,0.06,0.7,0.7,0.1,0.1
US1COAR0043,"DENVER 9.4 S, CO US",1/31/2020,0.08,1.1,1.1,0.1,0.1
US1COAR0043,"DENVER 9.4 S, CO US",2/1/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",2/2/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",2/3/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",2/4/2020,0.25,3.6,3.6,0.2,0.2
US1COAR0043,"DENVER 9.4 S, CO US",2/5/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",2/6/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",2/7/2020,0.47,6.3,6.3,0.4,0.4
US1COAR0043,"DENVER 9.4 S, CO US",2/8/2020,0.28,3.4,9,0.7,0.3
US1COAR0043,"DENVER 9.4 S, CO US",2/9/2020,0.07,1.6,5,0.9,0.1
US1COAR0043,"DENVER 9.4 S, CO US",2/10/2020,0.03,0.4,4,0.5,0
US1COAR0043,"DENVER 9.4 S, CO US",2/11/2020,0.27,3.6,0.27,3.6,0.2
US1COAR0043,"DENVER 9.4 S, CO US",2/12/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",2/13/2020,0.03,0.2,0.03,0.2,0
US1COAR0043,"DENVER 9.4 S, CO US",2/14/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",2/15/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",2/16/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",2/17/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",2/18/2020,0.07,0.8,0.07,0.8,0.1
US1COAR0043,"DENVER 9.4 S, CO US",2/19/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",2/20/2020,0.08,1.2,0.08,1.2,0.1
US1COAR0043,"DENVER 9.4 S, CO US",2/21/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",2/22/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",2/23/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",2/24/2020,0.11,0,0.11,0,0
US1COAR0043,"DENVER 9.4 S, CO US",2/25/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",2/26/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",2/27/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",2/28/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",2/29/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/1/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/2/2020,0.15,1.8,1.8,0.1,0.1
US1COAR0043,"DENVER 9.4 S, CO US",3/3/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/4/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/5/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/6/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/7/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/8/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/9/2020,0.58,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/10/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/11/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/12/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/13/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/14/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/15/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/16/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/17/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/18/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/19/2020,0.3,0,0.3,0,0.3
US1COAR0043,"DENVER 9.4 S, CO US",3/20/2020,1.18,7.5,7.5,2.3,2.3
US1COAR0043,"DENVER 9.4 S, CO US",3/21/2020,0,0,7,1,7
US1COAR0043,"DENVER 9.4 S, CO US",3/22/2020,0.09,0,0.09,0,0.09
US1COAR0043,"DENVER 9.4 S, CO US",3/23/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/24/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/25/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/26/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/27/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/28/2020,0.3,2.1,2.1,0.3,0.3
US1COAR0043,"DENVER 9.4 S, CO US",3/29/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/30/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",3/31/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/1/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/2/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/3/2020,0.21,2.7,2.7,0.1,0.1
US1COAR0043,"DENVER 9.4 S, CO US",4/4/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/5/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/6/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/7/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/8/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/9/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/10/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/11/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/12/2020,0.06,0.9,0.9,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/13/2020,0.11,2.9,2.9,0.1,0.1
US1COAR0043,"DENVER 9.4 S, CO US",4/14/2020,0.13,1.5,4.5,0.3,0.1
US1COAR0043,"DENVER 9.4 S, CO US",4/15/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/16/2020,0.25,2.2,2.2,0.2,0.2
US1COAR0043,"DENVER 9.4 S, CO US",4/17/2020,0.26,3.2,5.5,0.5,0.2
US1COAR0043,"DENVER 9.4 S, CO US",4/18/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/19/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/20/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/21/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/22/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/23/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/24/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/25/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/26/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/27/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/28/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/29/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",4/30/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/1/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/2/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/3/2020,0.01,0,0.01,0,0.01
US1COAR0043,"DENVER 9.4 S, CO US",5/4/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/5/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/6/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/7/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/8/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/9/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/10/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/11/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/12/2020,0.03,0,0.03,0,0.03
US1COAR0043,"DENVER 9.4 S, CO US",5/13/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/14/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/15/2020,0.02,0,0.02,0,0.02
US1COAR0043,"DENVER 9.4 S, CO US",5/16/2020,0.08,0,0.08,0,0.08
US1COAR0043,"DENVER 9.4 S, CO US",5/17/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/18/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/19/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/20/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/21/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/22/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/23/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/24/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/25/2020,1.04,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/26/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/27/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/28/2020,0.02,0,0.02,0,0.02
US1COAR0043,"DENVER 9.4 S, CO US",5/29/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",5/30/2020,0.07,0,0.07,0,0.07
US1COAR0043,"DENVER 9.4 S, CO US",5/31/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",6/1/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",6/2/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",6/3/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",6/4/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",6/5/2020,0.01,0,0.01,0,0.01
US1COAR0043,"DENVER 9.4 S, CO US",6/6/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",6/7/2020,0.04,0,0.04,0,0.04
US1COAR0043,"DENVER 9.4 S, CO US",6/8/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",6/9/2020,0.51,0,0.51,0,0.51
US1COAR0043,"DENVER 9.4 S, CO US",6/10/2020,0.14,0,0.14,0,0.14
US1COAR0043,"DENVER 9.4 S, CO US",6/11/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",6/12/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",6/13/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",6/14/2020,0.05,0,0.05,0,0.05
US1COAR0043,"DENVER 9.4 S, CO US",6/15/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",6/16/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",6/17/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",6/18/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",6/19/2020,0.02,0,0.02,0,0.02
US1COAR0043,"DENVER 9.4 S, CO US",6/20/2020,0.01,0,0.01,0,0.01
US1COAR0043,"DENVER 9.4 S, CO US",6/21/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",6/22/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",6/23/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",6/24/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",6/25/2020,0.03,0,0.03,0,0.03
US1COAR0043,"DENVER 9.4 S, CO US",6/26/2020,0.02,0,0.02,0,0.02
US1COAR0043,"DENVER 9.4 S, CO US",6/27/2020,0.06,0,0.06,0,0.06
US1COAR0043,"DENVER 9.4 S, CO US",6/28/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",6/29/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",6/30/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/1/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/2/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/3/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/4/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/5/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/6/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/7/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/8/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/9/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/10/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/11/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/12/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/13/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/14/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/15/2020,0.07,0,0.07,0,0.07
US1COAR0043,"DENVER 9.4 S, CO US",7/16/2020,0.06,0,0.06,0,0.06
US1COAR0043,"DENVER 9.4 S, CO US",7/17/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/18/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/19/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/20/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/21/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/22/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/23/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/24/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/25/2020,0.12,0,0.12,0,0.12
US1COAR0043,"DENVER 9.4 S, CO US",7/26/2020,0.18,0,0.18,0,0.18
US1COAR0043,"DENVER 9.4 S, CO US",7/27/2020,0.03,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/28/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/29/2020,0.02,0,0.02,0,0.02
US1COAR0043,"DENVER 9.4 S, CO US",7/30/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",7/31/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/1/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/2/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/3/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/4/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/5/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/6/2020,0.07,0,0.07,0,0.07
US1COAR0043,"DENVER 9.4 S, CO US",8/7/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/8/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/9/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/10/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/11/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/12/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/13/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/14/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/15/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/16/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/17/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/18/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/19/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/20/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/21/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/22/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/23/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/24/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/25/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/26/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/27/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/28/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",8/29/2020,0.07,0,0.07,0,0.07
US1COAR0043,"DENVER 9.4 S, CO US",8/30/2020,0.04,0,0.04,0,0.04
US1COAR0043,"DENVER 9.4 S, CO US",8/31/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/1/2020,0.18,0,0.18,0,0.18
US1COAR0043,"DENVER 9.4 S, CO US",9/2/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/3/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/4/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/5/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/6/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/7/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/8/2020,0.39,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/9/2020,0.47,2,2,0.3,0.3
US1COAR0043,"DENVER 9.4 S, CO US",9/10/2020,0.01,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/11/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/12/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/13/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/14/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/15/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/16/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/17/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/18/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/19/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/20/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/21/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/22/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/23/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/24/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/25/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/26/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/27/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/28/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/29/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",9/30/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",10/1/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",10/2/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",10/3/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",10/4/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",10/5/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",10/6/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",10/7/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",10/8/2020,0,0,0,0,0
US1COAR0043,"DENVER 9.4 S, CO US",10/9/2020,0,0,0,0,0
